"","block_num","block","rc","rt"
"1",1,"2b",1,1076.72139178639
"2",1,"2b",1,1387.40135008063
"3",1,"2b",0,1337.27558858687
"4",1,"2b",1,1514.08338248525
"5",1,"2b",0,1312.33749141307
"6",1,"2b",1,466.262451207169
"7",1,"2b",0,1668.24798238672
"8",1,"2b",0,1493.01328417484
"9",1,"2b",1,1167.17418736089
"10",1,"2b",0,1359.07225552334
"11",1,"2b",0,1367.01932268423
"12",1,"2b",1,1410.5097342805
"13",2,"0b",0,626.759599682133
"14",2,"0b",1,1400.74481908785
"15",2,"0b",1,820.010261279055
"16",2,"0b",1,1360.05555341206
"17",2,"0b",1,394.729194190787
"18",2,"0b",1,806.295075906271
"19",2,"0b",1,1174.97437129076
"20",2,"0b",1,585.427343833161
"21",2,"0b",1,574.193309534677
"22",2,"0b",1,518.438388917932
"23",2,"0b",1,484.246016198379
"24",2,"0b",1,668.85214004588
"25",3,"2b",1,1678.38738189798
"26",3,"2b",1,436.634800442835
"27",3,"2b",1,999.246645996609
"28",3,"2b",0,1123.97677170869
"29",3,"2b",1,1651.76195137845
"30",3,"2b",0,1247.16433299811
"31",3,"2b",0,670.675685969914
"32",3,"2b",0,2142.21785404706
"33",3,"2b",0,1755.69564589798
"34",3,"2b",1,1418.71513624551
"35",3,"2b",0,1909.05430516291
"36",3,"2b",0,630.612856382514
"37",4,"0b",1,802.18702709507
"38",4,"0b",1,1105.26759108563
"39",4,"0b",1,443.469789455606
"40",4,"0b",1,583.518667869195
"41",4,"0b",1,1255.76531341645
"42",4,"0b",0,913.216391907179
"43",4,"0b",1,390.788764375287
"44",4,"0b",1,739.765695323264
"45",4,"0b",1,1059.73382130035
"46",4,"0b",1,769.435023285433
"47",4,"0b",0,987.256241606196
"48",4,"0b",1,1087.70161333635
"49",5,"2b",0,812.995208597954
"50",5,"2b",1,1210.04688447623
"51",5,"2b",1,1807.47158637183
"52",5,"2b",1,303.625755655709
"53",5,"2b",1,1086.36035639729
"54",5,"2b",1,1358.31864179135
"55",5,"2b",1,853.396214972523
"56",5,"2b",1,1466.95147124961
"57",5,"2b",1,1505.71496030787
"58",5,"2b",1,1283.481920362
"59",5,"2b",1,2585.72907293332
"60",5,"2b",1,1197.3503712659
"61",6,"0b",1,516.377350662832
"62",6,"0b",1,1057.0769032698
"63",6,"0b",1,661.688498334694
"64",6,"0b",1,1525.03200613646
"65",6,"0b",1,304.685331293544
"66",6,"0b",1,660.803827110195
"67",6,"0b",1,1047.61395882777
"68",6,"0b",1,953.039764063599
"69",6,"0b",1,623.1556884455
"70",6,"0b",1,500.965777337743
"71",6,"0b",1,843.342711413209
"72",6,"0b",0,795.707776049926
